CompanyName,Website,LinkedIn,Sub Industry,Country,Employees
Magnolia ,https://www.linkedin.com/company/magnolia-/,https://www.linkedin.com/company/magnolia-/,Furniture,United States,
Mancini's Sleepworld,http://www.sleepworld.com/,http://www.linkedin.com/company/mancini's-sleepworld,Furniture,United States,210
Martela Group,http://www.martela.com/,http://www.linkedin.com/company/martela-oyj,Furniture,Finland,270
Maskun Kalustetalo Oy,http://www.masku.com/,http://www.linkedin.com/company/maskun-kalustetalo-oy,Furniture,Finland,280
Matis Group,https://matisfurniture.com/,https://www.linkedin.com/company/matis-doo-ivanjica,Furniture,Serbia,
Mattress Firm,http://www.mattressfirm.com/,https://www.linkedin.com/company/mattressfirm/,Furniture,United States,6‚-500
Mattress Warehouse,http://www.mattresswarehouse.com/,http://www.linkedin.com/company/mattresswarehouse,Furniture,United States,930
Meble W√≥jcik,http://www.meblewojcik.com.pl/,http://www.linkedin.com/company/meble-w%c3%b3jcik,Furniture,Poland,1‚-500
Merkamueble,https://merkamueble.com/,https://www.linkedin.com/company/merkamueble-oficial,Furniture,Spain,"501√¢¬Ä¬î1,000"
Millerknoll,http://www.millerknoll.com/,http://www.linkedin.com/company/millerknoll,HoldCo,United States,11‚-000
Minotti S.P.A.,http://www.minotti.com/,http://www.linkedin.com/company/minotti-spa,Furniture,Italy,220
Minted,https://www.minted.com/,https://www.linkedin.com/company/minted/,Furniture,United States,200-500
Mio AB,http://www.mio.se/,http://www.linkedin.com/company/mio-ab,Furniture,Sweden,1‚-200
Mitchell Gold + Bob Williams,http://www.mgbw.com/,http://www.linkedin.com/company/mitchell-gold---bob-williams,Furniture,United States,340
Mkt,http://www.eltemkt.com/,http://www.linkedin.com/company/eltemkt,Furniture,Canada,380
Mobilya,http://www.mobilya.it/,http://www.linkedin.com/company/mobilya-megastore,Furniture,Italy,460
Moe's Home Collection,http://www.moeshome.com/,http://www.linkedin.com/company/moe's-home-collection,Furniture,Canada,280
Moki Ve≈æi,http://www.mokivezi.lt/,http://www.linkedin.com/company/moki-vezi,Furniture,Lithuania,710
Molteni&C,http://www.molteni.it/,http://www.linkedin.com/company/molteniandc,Furniture,Italy,490
Mondo Convenienza,http://www.mondoconv.it/,http://www.linkedin.com/company/mondoconvenienza,Furniture,Italy,3‚-500
Mor Furniture for Less,http://www.morfurniture.com/,http://www.linkedin.com/company/mor-furniture,Furniture,United States,360
Morgan,http://www.morganfurniture.co.uk/,http://www.linkedin.com/company/morganfurniture,Furniture,United Kingdom,340
Mts Seating,http://www.mtsseating.com/,http://www.linkedin.com/company/mtsseating,Furniture,United States,390
National Office Furniture,http://www.nationalofficefurniture.com/,http://www.linkedin.com/company/national-office-furniture,Furniture,United States,330
Neptune,http://www.neptune.com/,http://www.linkedin.com/company/neptune-europe-ltd,Furniture,United Kingdom,640
Nick Scali Limited,http://www.nickscali.com.au/,http://www.linkedin.com/company/nick-scali-furniture,Furniture,Australia,930
Nobia,http://www.nobia.com/,http://www.linkedin.com/company/nobia-ab,HoldCo,Sweden,"1,000-5,000"
Norcros,https://norcros.com/,https://www.linkedin.com/company/norcros-plc,HoldCo,United Kingdom,"1,000-5,000"
Nuevo,http://www.nuevoliving.com/,http://www.linkedin.com/company/nuevoliving,Furniture,Canada,310
Oak Furnitureland,http://www.oakfurnitureland.co.uk/,http://www.linkedin.com/company/oak-furnitureland,Furniture,United Kingdom,820
Orangebox,http://www.orangebox.com/,http://www.linkedin.com/company/orangebox,Furniture,United Kingdom,310
Orizzonte,http://www.orizzonteshop.it/,http://www.linkedin.com/company/unipam-gruppo-orizzonte,Furniture,Italy,250
Ort,http://www.ort.bg/,http://www.linkedin.com/company/town-and-country-living,Furniture,Bulgaria,230
Otto Group,http://www.ottogroup.com/,http://www.linkedin.com/company/ottogroup,HoldCo,Germany,37‚-000
Palliser Furniture Ltd.,http://www.palliser.com/,http://www.linkedin.com/company/palliserfurniture,Furniture,Canada,2‚-000
Pedrali Spa,http://www.pedrali.com/,http://www.linkedin.com/company/pedrali-spa,Furniture,Italy,320
Poliform,http://www.poliform.com,http://www.linkedin.com/company/poliform,Furniture,Italy,340
Poltrona Frau Group,https://www.poltronafrau.com/fr/fr.html,http://www.linkedin.com/company/poltrona-frau-group,Furniture,Italy,230
poltronesof√†,http://www.poltronesofa.com/,http://www.linkedin.com/company/poltronesofa,Furniture,Italy,1‚-500
Polywood¬Æ,http://www.polywood.com/,http://www.linkedin.com/company/polywoodllc,Furniture,United States,590
porta-Unternehmensgruppe,http://www.porta.de/,http://www.linkedin.com/company/porta-m%c3%b6bel,Furniture,Germany,6‚-700
Portmeirion Group,https://www.portmeiriongroup.com/,https://www.linkedin.com/company/portmeirion-group-limited,HoldCo,United Kingdom,"500-1,000"
Potpourri Group,http://www.potpourrigroup.com/,http://www.linkedin.com/company/potpourri-group,HoldCo,United States,230
